"filename", "language", "Markdown", "JavaScript", "JSON", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\jkyap\Desktop\git_projects\orbital\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\app.js", "JavaScript", 0, 64, 0, 0, 0, 15, 20, 99
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\controllers\challenge-controllers.js", "JavaScript", 0, 161, 0, 0, 0, 68, 21, 250
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\controllers\debug-controller.js", "JavaScript", 0, 351, 0, 0, 0, 30, 59, 440
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\controllers\language-controllers.js", "JavaScript", 0, 15, 0, 0, 0, 2, 3, 20
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\controllers\startup-challenge-controller.js", "JavaScript", 0, 277, 0, 0, 0, 60, 50, 387
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\controllers\startup-controllers.js", "JavaScript", 0, 202, 0, 0, 0, 12, 31, 245
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\controllers\student-controllers.js", "JavaScript", 0, 235, 0, 0, 0, 19, 35, 289
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\controllers\tier-controllers.js", "JavaScript", 0, 15, 0, 0, 0, 2, 3, 20
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\middleware\check-auth.js", "JavaScript", 0, 21, 0, 0, 0, 8, 5, 34
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\middleware\file-upload.js", "JavaScript", 0, 25, 0, 0, 0, 2, 3, 30
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\models\challenge.js", "JavaScript", 0, 30, 0, 0, 0, 15, 3, 48
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\models\course.js", "JavaScript", 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\models\http-error.js", "JavaScript", 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\models\language.js", "JavaScript", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\models\startup.js", "JavaScript", 0, 17, 0, 0, 0, 1, 3, 21
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\models\startupChallenge.js", "JavaScript", 0, 40, 0, 0, 0, 4, 3, 47
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\models\student.js", "JavaScript", 0, 38, 0, 0, 0, 2, 3, 43
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\models\submission.js", "JavaScript", 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\models\tier.js", "JavaScript", 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\package-lock.json", "JSON", 0, 0, 1615, 0, 0, 0, 1, 1616
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\package.json", "JSON", 0, 0, 22, 0, 0, 0, 1, 23
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\routes\challenge-routes.js", "JavaScript", 0, 9, 0, 0, 0, 1, 10, 20
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\routes\debug-routes.js", "JavaScript", 0, 12, 0, 0, 0, 0, 11, 23
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\routes\language-routes.js", "JavaScript", 0, 5, 0, 0, 0, 0, 4, 9
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\routes\startup-challenge-routes.js", "JavaScript", 0, 35, 0, 0, 0, 2, 13, 50
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\routes\startup-routes.js", "JavaScript", 0, 9, 0, 0, 0, 4, 9, 22
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\routes\student-routes.js", "JavaScript", 0, 11, 0, 0, 0, 2, 10, 23
"c:\Users\jkyap\Desktop\git_projects\orbital\backend\routes\tier-routes.js", "JavaScript", 0, 5, 0, 0, 0, 0, 4, 9
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\package-lock.json", "JSON", 0, 0, 13840, 0, 0, 0, 1, 13841
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\package.json", "JSON", 0, 0, 34, 0, 0, 0, 1, 35
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\public\index.html", "HTML", 0, 0, 0, 23, 0, 23, 1, 47
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\App.js", "JavaScript", 0, 184, 0, 0, 0, 1, 49, 234
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\Home.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\challenges\components\ChallengeList.css", "CSS", 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\challenges\components\ChallengeList.js", "JavaScript", 0, 76, 0, 0, 0, 2, 8, 86
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\challenges\components\ChallengeListItem.css", "CSS", 0, 0, 0, 0, 62, 0, 8, 70
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\challenges\components\ChallengeListItem.js", "JavaScript", 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\challenges\pages\Challenge.css", "CSS", 0, 0, 0, 0, 58, 0, 13, 71
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\challenges\pages\Challenge.js", "JavaScript", 0, 245, 0, 0, 0, 5, 20, 270
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\challenges\pages\Challenges.css", "CSS", 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\challenges\pages\Challenges.js", "JavaScript", 0, 222, 0, 0, 0, 7, 14, 243
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\challenges\pages\EditChallenge.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\index.css", "CSS", 0, 0, 0, 0, 34, 0, 8, 42
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\index.js", "JavaScript", 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\UIElements\Backdrop.css", "CSS", 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\UIElements\Backdrop.js", "JavaScript", 0, 10, 0, 0, 0, 0, 4, 14
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\UIElements\Card.css", "CSS", 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\UIElements\Card.js", "JavaScript", 0, 10, 0, 0, 0, 0, 4, 14
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\UIElements\ErrorModal.js", "JavaScript", 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\UIElements\Modal.css", "CSS", 0, 0, 0, 0, 49, 0, 10, 59
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\UIElements\Modal.js", "JavaScript", 0, 44, 0, 0, 0, 0, 8, 52
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\authentication\pages\Auth.css", "CSS", 0, 0, 0, 0, 13, 0, 3, 16
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\authentication\pages\Auth.js", "JavaScript", 0, 132, 0, 0, 0, 1, 11, 144
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\Button.css", "CSS", 0, 0, 0, 0, 55, 0, 10, 65
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\Button.js", "JavaScript", 0, 40, 0, 0, 0, 0, 4, 44
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\FileUpload.css", "CSS", 0, 0, 0, 0, 23, 0, 3, 26
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\FileUpload.js", "JavaScript", 0, 66, 0, 0, 0, 17, 15, 98
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\ImageUpload.css", "CSS", 0, 0, 0, 0, 21, 0, 3, 24
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\ImageUpload.js", "JavaScript", 0, 59, 0, 0, 0, 0, 8, 67
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\Input.css", "CSS", 0, 0, 0, 0, 35, 0, 6, 41
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\Input.js", "JavaScript", 0, 75, 0, 0, 0, 1, 11, 87
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\MultiDropdown.css", "CSS", 0, 0, 0, 0, 39, 0, 7, 46
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\MultiDropdown.js", "JavaScript", 0, 139, 0, 0, 0, 14, 20, 173
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\MultiInput.css", "CSS", 0, 0, 0, 0, 35, 0, 6, 41
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\MultiInput.js", "JavaScript", 0, 105, 0, 0, 0, 4, 18, 127
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\SubmitFile.css", "CSS", 0, 0, 0, 0, 23, 0, 4, 27
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\formElements\SubmitFile.js", "JavaScript", 0, 59, 0, 0, 0, 0, 11, 70
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\guide\Guide.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\navigation\pages\MainHeader.css", "CSS", 0, 0, 0, 0, 26, 0, 4, 30
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\navigation\pages\MainHeader.js", "JavaScript", 0, 6, 0, 0, 0, 0, 4, 10
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\navigation\pages\MainNavigation.css", "CSS", 0, 0, 0, 0, 53, 0, 10, 63
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\navigation\pages\MainNavigation.js", "JavaScript", 0, 73, 0, 0, 0, 0, 10, 83
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\navigation\pages\NavLinks.css", "CSS", 0, 0, 0, 0, 79, 2, 12, 93
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\navigation\pages\NavLinks.js", "JavaScript", 0, 67, 0, 0, 0, 0, 11, 78
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\navigation\pages\SideDrawer.css", "CSS", 0, 0, 0, 0, 10, 0, 1, 11
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\navigation\pages\SideDrawer.js", "JavaScript", 0, 19, 0, 0, 0, 0, 5, 24
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\components\settings\settings.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\context\auth-context.js", "JavaScript", 0, 9, 0, 0, 0, 1, 2, 12
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\hooks\form-hook.js", "JavaScript", 0, 54, 0, 0, 0, 0, 5, 59
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\shared\util\validators.js", "JavaScript", 0, 46, 0, 0, 0, 0, 3, 49
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startup-challenges\components\StartupChallengeList.css", "CSS", 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startup-challenges\components\StartupChallengeList.js", "JavaScript", 0, 92, 0, 0, 0, 5, 8, 105
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startup-challenges\components\StartupChallengeListItem.css", "CSS", 0, 0, 0, 0, 54, 0, 10, 64
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startup-challenges\components\StartupChallengeListItem.js", "JavaScript", 0, 25, 0, 0, 0, 0, 5, 30
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startup-challenges\pages\EditStartupChallenge.js", "JavaScript", 0, 260, 0, 0, 0, 2, 18, 280
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startup-challenges\pages\NewStartupChallenge.css", "CSS", 0, 0, 0, 0, 15, 0, 0, 15
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startup-challenges\pages\NewStartupChallenge.js", "JavaScript", 0, 100, 0, 0, 0, 1, 14, 115
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startup-challenges\pages\StartupChallenge.css", "CSS", 0, 0, 0, 0, 53, 0, 15, 68
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startup-challenges\pages\StartupChallenge.js", "JavaScript", 0, 299, 0, 0, 0, 1, 24, 324
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startup-challenges\pages\StartupChallenges.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startup-challenges\pages\StartupChallenges.js", "JavaScript", 0, 255, 0, 0, 0, 11, 15, 281
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startups\pages\StartupProfile.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\startups\pages\Startups.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\students\pages\StudentProfile.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\jkyap\Desktop\git_projects\orbital\frontend\src\students\pages\Students.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\jkyap\Desktop\git_projects\orbital\package-lock.json", "JSON", 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\jkyap\Desktop\git_projects\orbital\testCase.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\jkyap\Desktop\git_projects\orbital\testCase_problematic.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 10
"Total", "-", 1, 4475, 15559, 23, 777, 347, 816, 21998